cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,webaddr,numemp,asset,chbal,chbali,sc,frepo,lnlsnet,lnatres,trade,bkprem,ore,intan,idoa,liabeq,liab,dep,depi,depdom,iddepinr,frepp,tradel,idobrmtg,subnd,idoliab,eqtot,eq,eqpp,eqcs,eqsur,equptot,eqconsub,nclnls,NCGTYPAR,oaienc,ernast,asstlt,asset5,asset2,RWAJT,AVASSETJ,OALIFINS,OALIFGEN,OALIFSEP,Oalifhyb,voliab,lnexamt,othbfhlb,lnlssale,ucln,RBCT1J,RBCT2,uc,obsdir
"3109","0","101952","1106990","The Brady National Bank","Brady","TX","76825","3/31/2018","5/14/2018","N","101-109 S. Blackburn Street","TEXAS COUNTRY BANCSHARES, INC.","1","0","0","4","1","Mcculloch","","","7/10/1905","1/1/1934","3/31/2006","Stock","0","1","OCC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","http://www.bradynationalbank.com","21","120692","9357","7909","47975","0","58371","1104","0","751","0","0","4238","120692","111070","110850","79434","110850","63.2892553037956","0","0","0","0","220","9622","9622","0","200","500","8922","0","0","0","595","114255","24668","119597","119597","68720","119353","2817","2242","0","575","4947","645","0","0","7607","10914","862","7607","0"
"878","0","701736","3244113","The Brand Banking Company","Lawrenceville","GA","30046","3/31/2018","5/14/2018","SM","106 East Crogan Street","BRAND GROUP HOLDINGS, INC.","8","0","0","4","0","Gwinnett","12060","Atlanta-Sandy Springs-Roswell, GA","1/1/1905","1/1/1934","3/31/2006","Stock","0","0","FED","DIF","Atlanta","ATLANTA","Atlanta","Atlanta","Southern","Southeast","0","1","http://www.thebrandbank.com","473","2426579","109814","76030","223648","0","1953337","18147","0","19594","15182","897","104107","2426579","2189786","1926072","1528193","1926072","64.2321318009045","0","0","241432","0","22282","236793","236793","0","400","199450","36943","0","40333","5829","8767","2253015","631376","2414015","2414015","2073644","2381101","44976","44976","0","0","271331","18728","200000","87902","324795","239223","18245","324795","135189"
"28837","2460","580874","0","The Brattleboro Savings and Loan Association","Brattleboro","VT","5301","3/31/2018","5/14/2018","SB","221 Main Street","","3","0","0","4","0","Windham","","","1/1/1912","3/9/1962","1/3/2017","Non-Stock","0","1","FDIC","DIF","New York","NEW YORK","Springfield Ma","Boston","Northeastern","Northeast","0","1","www.brattbank.com","50","191090","12962","8306","479","876","165163","1520","0","4657","90","2235","4628","191090","173921","163480","138127","163480","82.5098614805981","0","0","8443","0","1998","17169","17169","0","0","0","17169","0","487","0","440","174824","88981","188071","188071","139081","185878","2040","2040","0","0","12964","1543","7500","0","21609","15371","1539","21609","0"
"3113","12346","227357","1108789","The Brenham National Bank","Brenham","TX","77833","3/31/2018","5/14/2018","N","2211 South Day Street","BRENHAM BANCSHARES, INC.","3","0","0","4","1","Washington","","","4/22/1933","1/1/1934","12/4/2008","Stock","0","0","OCC","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","0","1","http://www.bnbank.com","57","326345","15288","11866","135158","0","164113","2418","0","4135","0","0","7651","326345","296275","287363","209169","287363","80.6605250523591","0","0","7040","0","1872","30070","30070","0","1200","4921","23949","0","149","0","1313","311137","109898","321360","321360","219650","318931","4193","4193","0","0","8986","670","7040","0","40242","32340","2418","40242","0"
"28663","2076","559179","0","The Brookville Building and Savings Association","Brookville","OH","45309","3/31/2018","5/14/2018","NM","510 Arlington Road","","2","0","0","5","0","Montgomery","19380","Dayton, OH","1/1/1903","6/10/1940","4/11/2018","Non-Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Cincinnati","Cleveland","Central","Central","0","1","www.brookvillesavings.com","9","43441","3709","3332","7374","0","31014","325","0","401","0","0","943","43441","35487","35328","33675","35328","97.6251132246377","0","0","96","0","63","7954","7954","0","0","0","7954","0","170","0","151","41720","34409","43776","43776","24563","43521","311","311","0","0","1662","679","96","0","3565","8115","307","3565","0"
"11866","8887","765019","1140994","The Bryn Mawr Trust Company","Bryn Mawr","PA","19010","3/31/2018","5/14/2018","SM","801 Lancaster Avenue","BRYN MAWR BANK CORPORATION","46","0","1","4","0","Montgomery","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","3/25/1889","1/1/1934","12/15/2017","Stock","0","1","FED","DIF","New York","NEW YORK","Philadelphia","Philadelphia","Northeastern","Northeast","0","1","http://www.bmtc.com","660","4284334","32273","5759","541988","0","3293655","17662","7776","52669","300","200548","155125","4284334","3714664","3387516","3144891","3387516","69.5117003747579","13805","0","267683","0","45660","569670","570354","0","2059","397861","170434","-684","7533","0","11685","3849178","1170514","4357430.5","4357430.5","3358563","4037355","61831","39235","16920","5676","304427","9489","267683","5522","783608","379164","17913","783608","372691"
"11916","0","53051","0","The Buckholts State Bank","Buckholts","TX","76518","3/31/2018","5/14/2018","NM","100 North Fourth Street","","3","0","0","8","1","Milam","","","1/1/1907","1/1/1934","6/17/2015","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","0","1","www.buckholtsbank.com","14","74499","12159","10378","27958","0","33589","325","0","305","30","0","458","74499","62332","62301","43133","62301","90.4595340478788","0","0","0","0","31","12167","12167","0","844","4200","7123","0","112","0","368","71925","32372","74861.5","74861.5","37428","74073","0","0","0","0","1039","152","0","0","4125","12167","325","4125","0"
"57358","0","3076220","3189728","The Business Bank of Saint Louis","Clayton","MO","63105","3/31/2018","5/14/2018","NM","8000 Maryland Avenue","BUSINESS BANCSHARES, INC.","1","0","0","4","0","Saint Louis","41180","St. Louis, MO-IL","5/16/2002","5/16/2002","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","http://www.bbstl.com","69","619498","24882","19647","53428","0","508483","7262","498","756","6125","0","25326","619498","545019","536232","453228","536232","56.189548460878","0","498","150","0","8139","74479","74479","0","5248","48491","20740","0","227","0","1927","582056","105851","624506","624506","583809","626998","15973","13682","0","2291","43493","25134","0","387","146102","75171","7300","146102","44993"
"12223","0","719656","1097098","The Callaway Bank","Fulton","MO","65251","3/31/2018","5/14/2018","SM","5 East Fifth Street","CALLAWAY SECURITY BANKS, INC.","8","0","0","4","0","Callaway","27620","Jefferson City, MO","1/1/1857","1/1/1934","3/31/2006","Stock","0","1","FED","DIF","Kansas City","KANSAS CITY","Columbia Mo","St. louis","Western","West","0","1","www.callawaybank.com","61","370275","9955","4284","59515","0","277398","2828","0","8939","3851","0","10617","370275","336525","295389","216769","295389","82.1623998106125","23869","0","16021","0","1246","33750","33750","0","2000","6115","25635","0","1381","0","1362","341197","171368","369136.5","369136.5","285200","368002","5254","5254","0","0","63838","2519","16021","801","44921","34257","2955","44921","0"
"4255","9393","593007","1130249","The Camden National Bank","Camden","ME","4843","3/31/2018","5/14/2018","N","2 Elm Street","CAMDEN NATIONAL CORPORATION","63","0","1","4","0","Knox","","","1/1/1875","1/1/1934","12/1/2016","Stock","0","1","OCC","DIF","New York","NEW YORK","Concord","Boston","Northeastern","Northeast","0","1","www.camdennational.com","617","4097296","125086","76927","889879","0","2775706","22990","402","41545","130","100442","164106","4097296","3655263","3050255","2550490","3050255","76.1424270885699","256274","10707","307124","0","30903","442033","442033","0","1778","177340","262915","0","14897","733","9824","3742512","1699858","4069891","4069891","2820624","3949551","88097","75466","12631","0","683409","12982","306350","9548","570296","352422","23012","570296","778470"
